task_id_list	courier_id	total_score	willingness
T0003	C028	55.309	0.1660
T0003	C029	49.949	0.0724
T0003	C030	38.318	0.1464
T0003	C031	35.010	0.1513
T0003	C032	58.242	0.1101
T0003	C033	48.818	0.1203
T0003	C034	36.586	0.1879
T0003	C035	64.664	0.2059
T0003	C036	34.588	0.1801
T0003	C037	42.777	0.2556
T0003	C038	52.539	0.2107
T0003	C039	48.089	0.1843
T0003	C040	46.580	0.1510
T0003	C041	46.855	0.1218
T0003	C042	47.927	0.1337
T0003	C043	30.263	0.2154
T0003	C044	56.902	0.1683
T0003	C045	41.201	0.1788
T0003	C046	46.991	0.1209
T0003	C047	40.124	0.1484
T0003	C048	57.063	0.2169
T0003	C049	59.813	0.1651
T0003	C050	58.126	0.1012
T0003	C051	49.949	0.2125
T0003	C052	54.628	0.0969
T0003	C053	58.607	0.1085
T0003	C054	31.286	0.1869
T0003	C055	51.646	0.2260
T0003	C056	53.792	0.1512
T0003	C057	51.993	0.1650
T0003	C058	47.734	0.1487
T0003	C059	67.565	0.1907
T0003	C060	51.766	0.2152
T0003	C061	47.525	0.2148
T0003	C062	65.291	0.2094
T0003	C063	46.537	0.1876
T0003	C064	63.578	0.1262
T0003	C065	33.482	0.1877
T0003	C066	47.736	0.1456
T0003	C067	35.485	0.1896
T0003	C068	59.674	0.0727
T0003	C069	46.785	0.1774
T0004	C000	37.425	0.1764
T0004	C001	26.777	0.1563
T0004	C002	44.654	0.1869
T0004	C003	27.196	0.1788
T0004	C004	46.924	0.1245
T0004	C005	23.199	0.2359
T0004	C006	33.449	0.2321
T0004	C007	46.609	0.1665
T0004	C008	28.548	0.0936
T0004	C009	43.247	0.1453
T0004	C010	25.979	0.1665
T0004	C011	24.643	0.2031
T0004	C012	43.693	0.1487
T0004	C013	34.659	0.1715
T0004	C014	12.756	0.2024
T0004	C015	46.914	0.1319
T0004	C016	24.080	0.2278
T0004	C017	48.925	0.2037
T0004	C018	31.487	0.1678
T0004	C019	34.590	0.1821
T0004	C020	33.156	0.2011
T0004	C021	25.946	0.1403
T0004	C022	53.693	0.1311
T0004	C023	48.739	0.1566
T0004	C024	25.270	0.1912
T0004	C025	36.336	0.2455
T0004	C026	49.378	0.1651
T0004	C027	27.353	0.2084
T0004	C028	14.585	0.2490
T0004	C029	25.064	0.1779
T0004	C030	18.737	0.1985
T0004	C031	29.424	0.2443
T0004	C032	28.778	0.1029
T0004	C033	40.712	0.1787
T0004	C034	24.699	0.2299
T0004	C035	36.057	0.1496
T0004	C036	19.999	0.0992
T0004	C037	17.870	0.1578
T0004	C038	35.892	0.1325
T0004	C039	50.234	0.0805
T0004	C040	28.151	0.0955
T0004	C041	37.665	0.1770
T0004	C042	24.693	0.1987
T0004	C043	25.464	0.1974
T0004	C044	45.251	0.0773
T0004	C045	44.190	0.1425
T0004	C046	51.476	0.1783
T0004	C047	54.565	0.2430
T0004	C048	41.415	0.2180
T0004	C049	37.195	0.1419
T0004	C050	28.020	0.1934
T0004	C051	32.472	0.1588
T0004	C052	31.928	0.1706
T0004	C053	57.361	0.1582
T0004	C054	25.807	0.2629
T0004	C055	48.170	0.1749
T0004	C056	19.697	0.0605
T0004	C057	18.533	0.2468
T0004	C058	39.566	0.0772
T0004	C059	64.589	0.0854
T0004	C060	47.166	0.2011
T0004	C061	43.984	0.1635
T0004	C062	16.053	0.2128
T0004	C063	46.792	0.2012
T0004	C064	41.363	0.2070
T0004	C065	31.960	0.2014
T0004	C066	52.191	0.0945
T0004	C067	31.872	0.1993
T0004	C068	50.328	0.2280
T0004	C069	33.240	0.1436
T0005	C000	48.145	0.1269
T0005	C001	66.110	0.2029
T0005	C002	54.373	0.1643
T0005	C003	74.138	0.0765
T0005	C004	43.720	0.1746
T0005	C005	71.566	0.1357
T0005	C006	74.621	0.0658
T0005	C007	53.114	0.2650
T0005	C008	61.788	0.1516
T0005	C009	64.053	0.1717
T0005	C010	59.740	0.1903
T0005	C011	46.543	0.1487
T0005	C012	50.609	0.1696
T0005	C013	47.701	0.1571
T0005	C014	84.310	0.0839
T0005	C015	61.108	0.1265
T0005	C016	68.291	0.1398
T0005	C017	91.024	0.1863
T0005	C018	54.083	0.1557
T0005	C019	64.205	0.1127
T0005	C020	70.890	0.1929
T0005	C021	68.132	0.1364
T0005	C022	55.826	0.1924
T0005	C023	65.441	0.1271
T0005	C024	76.440	0.0817
T0005	C025	97.535	0.1671
T0005	C026	63.711	0.1637
T0005	C027	61.697	0.1243
T0005	C028	72.776	0.1822
T0005	C029	77.984	0.1682
T0005	C030	69.126	0.1575
T0005	C031	60.609	0.1509
T0005	C032	86.972	0.1814
T0005	C033	53.402	0.0456
T0005	C034	66.290	0.1501
T0005	C035	67.044	0.0931
T0005	C036	58.933	0.1832
T0005	C037	69.664	0.1695
T0005	C038	54.984	0.1817
T0005	C039	53.321	0.1862
T0005	C040	76.150	0.1641
T0005	C041	53.762	0.1129
T0005	C042	75.827	0.1956
T0005	C043	53.781	0.1635
T0005	C044	64.569	0.1122
T0005	C045	56.284	0.1964
T0005	C046	57.347	0.1368
T0005	C047	64.669	0.1553
T0005	C048	60.019	0.1085
T0005	C049	77.111	0.1485
T0005	C050	67.734	0.1551
T0005	C051	44.638	0.1753
T0005	C052	73.337	0.0872
T0005	C053	47.279	0.1482
T0005	C054	66.656	0.1524
T0005	C055	49.703	0.1745
T0005	C056	76.863	0.1610
T0005	C057	89.508	0.1193
T0005	C058	59.238	0.2195
T0005	C059	46.032	0.2541
T0005	C060	47.069	0.1756
T0005	C061	60.261	0.2366
T0005	C062	70.189	0.1021
T0005	C063	56.443	0.1677
T0005	C064	60.181	0.0948
T0005	C065	70.898	0.0974
T0005	C066	68.581	0.1096
T0005	C067	69.380	0.1357
T0005	C068	44.269	0.1691
T0005	C069	72.641	0.1202
T0006	C000	36.605	0.1370
T0006	C001	15.824	0.1506
T0006	C002	42.224	0.2581
T0006	C003	43.681	0.1926
T0006	C004	40.899	0.2123
T0006	C005	38.259	0.2234
T0006	C006	28.181	0.1123
T0006	C007	46.803	0.2243
T0006	C008	32.000	0.0762
T0006	C009	36.293	0.2163
T0006	C010	30.266	0.1548
T0006	C011	43.491	0.2504
T0006	C012	36.436	0.1267
T0006	C013	53.384	0.1609
T0006	C014	16.227	0.2293
T0006	C015	38.421	0.1641
T0006	C016	23.960	0.1398
T0006	C017	52.577	0.1349
T0006	C018	45.250	0.1809
T0006	C019	41.833	0.1733
T0006	C020	41.222	0.1049
T0006	C021	22.568	0.2580
T0006	C022	54.461	0.1187
T0006	C023	42.845	0.1915
T0006	C024	26.389	0.1606
T0006	C025	23.393	0.2414
T0006	C026	52.321	0.2129
T0006	C027	20.922	0.2020
T0006	C028	29.955	0.1748
T0006	C029	24.975	0.0932
T0006	C030	30.595	0.0707
T0006	C031	32.283	0.2138
T0006	C032	15.531	0.2377
T0006	C033	41.396	0.1692
T0006	C034	19.005	0.2029
T0006	C035	47.624	0.1577
T0006	C036	26.877	0.1593
T0006	C037	17.615	0.2063
T0006	C038	31.261	0.2380
T0006	C039	46.162	0.1646
T0006	C040	25.554	0.1907
T0006	C041	38.605	0.0898
T0006	C042	15.969	0.2310
T0006	C043	30.805	0.1685
T0006	C044	46.105	0.1859
T0006	C045	37.403	0.1536
T0006	C046	31.124	0.1417
T0006	C047	42.594	0.2467
T0006	C048	33.469	0.1665
T0006	C049	40.128	0.2209
T0006	C050	41.417	0.2116
T0006	C051	38.612	0.1288
T0006	C052	34.055	0.0782
T0006	C053	59.827	0.1322
T0006	C054	24.973	0.2002
T0006	C055	42.355	0.2155
T0006	C056	35.286	0.1165
T0006	C057	24.814	0.1974
T0006	C058	38.513	0.1539
T0006	C059	55.011	0.2570
T0006	C060	56.152	0.1322
T0006	C061	33.345	0.1824
T0006	C062	36.419	0.1852
T0006	C063	38.833	0.2297
T0006	C064	56.925	0.1145
T0006	C065	34.705	0.1586
T0006	C066	37.978	0.2126
T0006	C067	34.943	0.1023
T0006	C068	48.266	0.1233
T0006	C069	49.731	0.0710
T0007	C000	66.919	0.1059
T0007	C001	33.156	0.2259
T0007	C002	55.577	0.2165
T0007	C003	77.852	0.1644
T0007	C004	58.823	0.2340
T0007	C005	57.853	0.2163
T0007	C006	86.151	0.0677
T0007	C007	70.443	0.1913
T0007	C008	28.834	0.1363
T0007	C009	57.269	0.1745
T0007	C010	49.403	0.1821
T0007	C011	34.125	0.1696
T0007	C012	69.483	0.1554
T0007	C013	54.103	0.1396
T0007	C014	48.261	0.1355
T0007	C015	73.020	0.1791
T0007	C016	52.716	0.1193
T0007	C017	91.363	0.1294
T0007	C018	54.655	0.0864
T0007	C019	73.799	0.0533
T0007	C020	56.084	0.1859
T0007	C021	69.013	0.2172
T0007	C022	62.228	0.2240
T0007	C023	71.607	0.1568
T0007	C024	75.164	0.1003
T0007	C025	61.129	0.1120
T0007	C026	68.287	0.1587
T0007	C027	70.783	0.0802
T0007	C028	85.282	0.1186
T0007	C029	62.276	0.1019
T0007	C030	44.086	0.2064
T0007	C031	52.650	0.1572
T0007	C032	68.587	0.1706
T0007	C033	78.963	0.0704
T0007	C034	51.877	0.1052
T0007	C035	73.681	0.1596
T0007	C036	53.323	0.1663
T0007	C037	51.203	0.2127
T0007	C038	45.062	0.0802
T0007	C039	58.820	0.1309
T0007	C040	59.576	0.1998
T0007	C041	42.159	0.1571
T0007	C042	53.280	0.1894
T0007	C043	50.357	0.2004
T0007	C044	65.095	0.1664
T0007	C045	50.994	0.1733
T0007	C046	50.725	0.1613
T0007	C047	48.340	0.2383
T0007	C048	70.404	0.1839
T0007	C049	73.112	0.1264
T0007	C050	65.141	0.2375
T0007	C051	66.715	0.2209
T0007	C052	60.203	0.1464
T0007	C053	64.004	0.0807
T0007	C054	52.619	0.2096
T0007	C055	52.635	0.1911
T0007	C056	75.616	0.1451
T0007	C057	66.863	0.1597
T0007	C058	67.960	0.1000
T0007	C059	62.187	0.1326
T0007	C060	48.896	0.1971
T0007	C061	45.548	0.1716
T0007	C062	47.647	0.1185
T0007	C063	59.078	0.1971
T0007	C064	89.761	0.0908
T0007	C065	54.430	0.1068
T0007	C066	62.978	0.1271
T0007	C067	61.178	0.1559
T0007	C068	59.820	0.1064
T0007	C069	52.102	0.2060
T0008	C000	76.327	0.1104
T0008	C001	43.543	0.1857
T0008	C002	57.737	0.1766
T0008	C003	74.653	0.1349
T0008	C004	55.728	0.0959
T0008	C005	67.132	0.1161
T0008	C006	91.241	0.0761
T0008	C007	64.418	0.1419
T0008	C008	48.778	0.0880
T0008	C009	60.189	0.1762
T0008	C010	51.491	0.2067
T0008	C011	50.058	0.1670
T0008	C012	71.779	0.1297
T0008	C013	46.555	0.2032
T0008	C014	67.248	0.1902
T0008	C015	74.428	0.1302
T0008	C016	53.147	0.1692
T0008	C017	82.490	0.0591
T0008	C018	67.820	0.0696
T0008	C019	67.167	0.0949
T0008	C020	62.316	0.0879
T0008	C021	80.147	0.1333
T0008	C022	50.120	0.1756
T0008	C023	69.731	0.1105
T0008	C024	82.985	0.1663
T0008	C025	87.140	0.1343
T0008	C026	63.446	0.1203
T0008	C027	72.503	0.1187
T0008	C028	66.865	0.0902
T0008	C029	63.558	0.0663
T0008	C030	57.295	0.1302
T0008	C031	54.239	0.1309
T0008	C032	87.119	0.1874
T0008	C033	74.594	0.1134
T0008	C034	71.114	0.0997
T0008	C035	79.205	0.0929
T0008	C036	46.665	0.1233
T0008	C037	65.836	0.1834
T0008	C038	55.066	0.1563
T0008	C039	56.903	0.1267
T0008	C040	60.036	0.1033
T0008	C041	51.161	0.1280
T0008	C042	59.466	0.1867
T0008	C043	50.139	0.2359
T0008	C044	73.607	0.1180
T0008	C045	53.620	0.2074
T0008	C046	56.891	0.1145
T0008	C047	68.032	0.1686
T0008	C048	76.053	0.1793
T0008	C049	74.249	0.1228
T0008	C050	76.376	0.1179
T0008	C051	66.251	0.2027
T0008	C052	60.230	0.0738
T0008	C053	75.271	0.1639
T0008	C054	68.219	0.2388
T0008	C055	63.700	0.1832
T0008	C056	84.828	0.0925
T0008	C057	78.324	0.1419
T0008	C058	69.578	0.1252
T0008	C059	69.184	0.1517
T0008	C060	55.587	0.2433
T0008	C061	66.172	0.1425
T0008	C062	69.463	0.1235
T0008	C063	65.426	0.1375
T0008	C064	88.308	0.1088
T0008	C065	66.458	0.0923
T0008	C066	79.122	0.0977
T0008	C067	63.275	0.1716
T0008	C068	54.549	0.2035
T0008	C069	50.548	0.1937
T0009	C000	42.606	0.2162
T0009	C001	36.050	0.2302
T0009	C002	41.282	0.1260
T0009	C003	43.359	0.1542
T0009	C004	47.461	0.1272
T0009	C005	34.633	0.2163
T0009	C006	41.459	0.1652
T0009	C007	50.210	0.2236
T0009	C008	35.199	0.1045
T0009	C009	26.594	0.1279
T0009	C010	30.666	0.1781
T0009	C011	28.639	0.1869
T0009	C012	45.915	0.0577
T0009	C013	40.427	0.1984
T0009	C014	25.795	0.0760
T0009	C015	46.584	0.1656
T0009	C016	30.152	0.1445
T0009	C017	50.982	0.1167
T0009	C018	40.573	0.0665
T0009	C019	35.136	0.1629
T0009	C020	39.839	0.1454
T0009	C021	36.156	0.1940
T0009	C022	52.936	0.1763
T0009	C023	36.948	0.1263
T0009	C024	36.900	0.0971
T0009	C025	37.751	0.2546
T0009	C026	54.980	0.2496
T0009	C027	23.704	0.1745
T0009	C028	40.194	0.1370
T0009	C029	28.462	0.1884
T0009	C030	37.204	0.2402
T0009	C031	29.385	0.1687
T0009	C032	34.744	0.1899
T0009	C033	36.450	0.1432
T0009	C034	29.146	0.2327
T0009	C035	45.853	0.1891
T0009	C036	33.711	0.1252
T0009	C037	25.398	0.2136
T0009	C038	41.568	0.1647
T0009	C039	51.490	0.2227
T0009	C040	18.948	0.1905
T0009	C041	41.316	0.1571
T0009	C042	40.441	0.2343
T0009	C043	15.113	0.2468
T0009	C044	30.755	0.1548
T0009	C045	37.643	0.1970
T0009	C046	41.712	0.1522
T0009	C047	47.646	0.1837
T0009	C048	37.319	0.1886
T0009	C049	33.525	0.1870
T0009	C050	27.931	0.1456
T0009	C051	32.389	0.1465
T0009	C052	36.355	0.0664
T0009	C053	61.525	0.1563
T0009	C054	37.581	0.2328
T0009	C055	52.524	0.2181
T0009	C056	41.505	0.1540
T0009	C057	38.897	0.1918
T0009	C058	38.659	0.0638
T0009	C059	51.875	0.1688
T0009	C060	44.419	0.1593
T0009	C061	49.014	0.1760
T0009	C062	36.486	0.1309
T0009	C063	37.809	0.1023
T0009	C064	43.001	0.1426
T0009	C065	49.627	0.2514
T0009	C066	44.262	0.1808
T0009	C067	30.336	0.2342
T0009	C068	51.902	0.1986
T0009	C069	49.879	0.0959
T0010	C000	87.237	0.1739
T0010	C001	69.034	0.1504
T0010	C002	85.505	0.1769
T0010	C003	97.963	0.1055
T0010	C004	88.803	0.0721
T0010	C005	77.480	0.0638
T0010	C006	87.892	0.1426
T0010	C007	99.517	0.1010
T0010	C008	72.013	0.0675
T0010	C009	82.974	0.1829
T0010	C010	73.942	0.1233
T0010	C011	82.154	0.0609
T0010	C012	84.015	0.1782
T0010	C013	95.902	0.1576
T0010	C014	55.036	0.0901
T0010	C015	85.736	0.1743
T0010	C016	76.683	0.1978
T0010	C017	92.645	0.1322
T0010	C018	81.958	0.0509
T0010	C019	85.667	0.1468
T0010	C020	77.420	0.1696
T0010	C021	84.897	0.1786
T0010	C022	93.690	0.1300
T0010	C023	90.332	0.0959
T0010	C024	84.001	0.1007
T0010	C025	91.814	0.1869
T0010	C026	82.456	0.1207
T0010	C027	54.802	0.1969
T0010	C028	66.640	0.1351
T0010	C029	74.394	0.0818
T0010	C030	69.940	0.1515
T0010	C031	72.465	0.1228
T0010	C032	77.111	0.0986
T0010	C033	87.201	0.1111
T0010	C034	67.151	0.1543
T0010	C035	87.570	0.1429
T0010	C036	72.151	0.0918
T0010	C037	66.321	0.1999
T0010	C038	75.339	0.0892
T0010	C039	95.691	0.1177
T0010	C040	67.093	0.1047
T0010	C041	77.994	0.1191
T0010	C042	65.955	0.1545
T0010	C043	68.513	0.1542
T0010	C044	72.025	0.1158
T0010	C045	77.780	0.1047
T0010	C046	86.114	0.1743
T0010	C047	100.617	0.1327
T0010	C048	73.132	0.1100
T0010	C049	87.267	0.1842
T0010	C050	65.740	0.2062
T0010	C051	75.799	0.1993
T0010	C052	76.696	0.0974
T0010	C053	110.794	0.0883
T0010	C054	87.539	0.1636
T0010	C055	78.111	0.1626
T0010	C056	59.617	0.2156
T0010	C057	81.950	0.1610
T0010	C058	87.532	0.0597
T0010	C059	93.163	0.1045
T0010	C060	98.524	0.1532
T0010	C061	87.976	0.1227
T0010	C062	70.905	0.1094
T0010	C063	90.160	0.1797
T0010	C064	86.677	0.1210
T0010	C065	85.741	0.1519
T0010	C066	89.912	0.2100
T0010	C067	72.346	0.0981
T0010	C068	96.309	0.1728
T0010	C069	88.002	0.1255
T0011	C000	100.879	0.1248
T0011	C001	60.180	0.1871
T0011	C002	95.153	0.1703
T0011	C003	95.512	0.0871
T0011	C004	87.584	0.1229
T0011	C005	111.636	0.2099
T0011	C006	103.943	0.1890
T0011	C007	92.988	0.1844
T0011	C008	69.638	0.0944
T0011	C009	80.973	0.1519
T0011	C010	81.227	0.0985
T0011	C011	81.184	0.2179
T0011	C012	99.406	0.0987
T0011	C013	88.328	0.1796
T0011	C014	88.195	0.1150
T0011	C015	100.584	0.0941
T0011	C016	84.396	0.1707
T0011	C017	123.174	0.1543
T0011	C018	71.184	0.1115
T0011	C019	102.408	0.1049
T0011	C020	105.747	0.1463
T0011	C021	110.365	0.1524
T0011	C022	82.637	0.1486
T0011	C023	99.561	0.1443
T0011	C024	102.866	0.1027
T0011	C025	88.853	0.1809
T0011	C026	99.041	0.1279
T0011	C027	93.194	0.1092
T0011	C028	86.612	0.1482
T0011	C029	96.622	0.1288
T0011	C030	77.293	0.0806
T0011	C031	88.861	0.1124
T0011	C032	99.419	0.1068
T0011	C033	89.148	0.0683
T0011	C034	82.030	0.1619
T0011	C035	108.130	0.1040
T0011	C036	79.528	0.1632
T0011	C037	77.341	0.2171
T0011	C038	79.098	0.0762
T0011	C039	95.800	0.1191
T0011	C040	103.880	0.1673
T0011	C041	76.010	0.1314
T0011	C042	76.701	0.1976
T0011	C043	69.058	0.2266
T0011	C044	91.852	0.0736
T0011	C045	79.837	0.2084
T0011	C046	105.879	0.1184
T0011	C047	91.162	0.1187
T0011	C048	108.472	0.1192
T0011	C049	107.403	0.1372
T0011	C050	107.206	0.1780
T0011	C051	87.404	0.1206
T0011	C052	90.188	0.0989
T0011	C053	102.072	0.0708
T0011	C054	68.767	0.2472
T0011	C055	95.475	0.1559
T0011	C056	98.486	0.1465
T0011	C057	90.242	0.1232
T0011	C058	88.341	0.1068
T0011	C059	102.854	0.0927
T0011	C060	80.573	0.1702
T0011	C061	67.594	0.2227
T0011	C062	87.370	0.1911
T0011	C063	100.851	0.1687
T0011	C064	116.354	0.0712
T0011	C065	83.935	0.1832
T0011	C066	105.284	0.1360
T0011	C067	91.551	0.1246
T0011	C068	93.519	0.1096
T0011	C069	92.796	0.2205
T0012	C000	65.395	0.0924
T0012	C001	57.982	0.1793
T0012	C002	61.006	0.1284
T0012	C003	55.136	0.2187
T0012	C004	56.405	0.2269
T0012	C005	60.014	0.1056
T0012	C006	60.842	0.0981
T0012	C007	68.193	0.1851
T0012	C008	59.863	0.1897
T0012	C009	52.047	0.2076
T0012	C010	45.537	0.2048
T0012	C011	36.276	0.2313
T0012	C012	66.289	0.1278
T0012	C013	58.402	0.1178
T0012	C014	57.955	0.2091
T0012	C015	55.651	0.2116
T0012	C016	67.895	0.1410
T0012	C017	76.409	0.0625
T0012	C018	55.676	0.0991
T0012	C019	64.720	0.1053
T0012	C020	63.070	0.1490
T0012	C021	62.615	0.1860
T0012	C022	61.822	0.1106
T0012	C023	57.383	0.1107
T0012	C024	69.620	0.1639
T0012	C025	72.093	0.1399
T0012	C026	64.711	0.2168
T0012	C027	54.091	0.1394
T0012	C028	57.913	0.1027
T0012	C029	66.798	0.1516
T0012	C030	43.951	0.1348
T0012	C031	54.040	0.2016
